origin_sdz,dest_sdz,place_of_work_ind_code,count,origin_vid,dest_vid,dist_full,connected_lts1,connected_lts2,connected_lts3,connected_lts4
N21000161,N21000162,4,1,4145,7448,2488.035482970002,False,False,False,True
N21000161,N21000163,4,9,4145,20140,2899.932487683348,False,False,False,True
N21000161,N21000164,4,26,4145,26366,1249.2686190718673,False,False,False,True
N21000161,N21000165,4,16,4145,19703,3094.1730068162847,False,False,False,True
N21000161,N21000166,4,18,4145,23646,2040.1845681309505,False,False,False,True
N21000161,N21000167,4,3,4145,23946,4619.426555973972,False,False,False,True
N21000161,N21000168,4,2,4145,4451,4111.921839164339,False,False,False,True
N21000161,N21000169,4,3,4145,623,3189.318615071264,False,False,False,True
N21000161,N21000170,4,1,4145,23278,2997.7969044176957,False,False,False,True
N21000161,N21000171,4,5,4145,18303,4868.091534638747,False,False,False,True
N21000161,N21000172,4,1,4145,18162,4341.866461668174,False,False,False,True
N21000161,N21000173,4,2,4145,24908,3475.881008196532,False,False,False,True
N21000161,N21000174,4,4,4145,19652,4316.1083245017235,False,False,False,True
N21000161,N21000175,4,20,4145,27201,5297.68866633883,False,False,False,True
N21000161,N21000176,4,1,4145,15329,5640.1316195056515,False,False,False,True
N21000161,N21000177,4,6,4145,22862,6036.593452120667,False,False,False,True
N21000161,N21000178,4,5,4145,12747,5382.5873836281025,False,False,False,True
N21000161,N21000179,4,2,4145,1275,6657.338079342524,False,False,False,True
N21000161,N21000181,4,1,4145,10525,5802.927394059407,False,False,False,True
N21000161,N21000182,4,4,4145,8586,4478.151634605713,False,False,False,True
N21000161,N21000183,4,1,4145,14990,5503.055537084709,False,False,False,True
N21000161,N21000184,4,3,4145,4165,4424.4752500941195,False,False,False,True
N21000161,N21000185,4,1,4145,26396,2843.9065327817025,False,False,False,True
N21000161,N21000186,4,3,4145,13768,4855.741889653484,False,False,False,True
N21000161,N21000187,4,2,4145,23892,3481.45545917418,False,False,False,True
N21000161,N21000188,4,4,4145,9768,5633.785391417112,False,False,False,True
N21000161,N21000189,4,5,4145,4448,4370.972576204158,False,False,False,True
N21000161,N21000190,4,4,4145,9490,5081.611942200649,False,False,False,True
N21000161,N21000191,4,1,4145,10156,5820.459917675025,False,False,False,True
N21000161,N21000192,4,53,4145,17614,6984.196096942477,False,False,False,True
N21000161,N21000193,4,1,4145,24443,4884.6550282599355,False,False,False,True
N21000161,N21000195,4,5,4145,22584,6050.120770118935,False,False,False,True
N21000161,N21000196,4,3,4145,8754,5769.162856373114,False,False,False,True
N21000161,N21000198,4,23,4145,15611,8372.447679422126,False,False,False,True
N21000161,N21000202,4,3,4145,15786,8628.962438729523,False,False,False,True
N21000161,N21000203,4,1,4145,15685,9518.50903303544,False,False,False,True
N21000161,N21000204,4,1,4145,26239,7792.954943990999,False,False,False,True
N21000161,N21000205,4,1,4145,27396,8918.823950977965,False,False,False,True
N21000161,N21000209,4,3,4145,9382,7886.268411914071,False,False,False,True
N21000161,N21000251,4,72,4145,15928,6711.872831534967,False,False,False,True
N21000161,N21000252,4,18,4145,6604,7170.042144275995,False,False,False,True
N21000161,N21000253,4,7,4145,7436,7206.683095966273,False,False,False,True
N21000161,N21000254,4,4,4145,17102,7746.727609584089,False,False,False,True
N21000161,N21000256,4,15,4145,24260,7644.725420461062,False,False,False,True
N21000161,N21000258,4,5,4145,27783,7759.249912755922,False,False,False,True
N21000161,N21000261,4,3,4145,1844,8330.22149171528,False,False,False,True
N21000161,N21000262,4,2,4145,8231,8369.871667220641,False,False,False,True
N21000161,N21000264,4,8,4145,24247,8601.090737044171,False,False,False,True
N21000161,N21000265,4,4,4145,27041,8415.799536700813,False,False,False,True
N21000161,N21000266,4,3,4145,18253,8293.888704403495,False,False,False,True
N21000161,N21000267,4,1,4145,21949,8953.78368945568,False,False,False,True
N21000161,N21000268,4,24,4145,1126,7923.901634186137,False,False,False,True
N21000161,N21000269,4,2,4145,1407,9208.98536719208,False,False,False,True
N21000161,N21000270,4,6,4145,1364,9247.857029009145,False,False,False,True
N21000161,N21000301,4,2,4145,22078,6064.064284769554,False,False,False,True
N21000161,N21000302,4,3,4145,6864,6735.6608887314815,False,False,False,True
N21000161,N21000303,4,1,4145,6397,6169.0960816055485,False,False,False,True
N21000161,N21000305,4,1,4145,6602,7199.824450338683,False,False,False,True
N21000161,N21000309,4,10,4145,2721,8052.9518890368045,False,False,False,True
N21000161,N21000310,4,2,4145,15134,9149.099316404037,False,False,False,True
N21000161,N21000316,4,2,4145,23306,2789.8852305740916,False,False,False,True
N21000161,N21000317,4,1,4145,25675,3426.0828777601737,False,False,False,True
N21000161,N21000318,4,1,4145,29337,2664.2188813368207,False,False,True,True
N21000161,N21000319,4,2,4145,20953,4133.459473494016,False,False,False,True
N21000161,N21000321,4,5,4145,19488,4058.9218115039725,False,False,False,True
N21000161,N21000322,4,3,4145,3303,4888.356387563106,False,False,False,True
N21000161,N21000323,4,5,4145,10135,4618.733045216635,False,False,False,True
N21000161,N21000324,4,3,4145,25636,4830.993940414849,False,False,False,True
N21000161,N21000325,4,22,4145,14225,5428.240185759278,False,False,False,True
N21000161,N21000326,4,2,4145,3406,4591.267709865263,False,False,False,True
N21000161,N21000327,4,1,4145,12871,4778.467366154687,False,False,False,True
N21000161,N21000328,4,1,4145,25177,5084.470932632369,False,False,False,True
N21000161,N21000329,4,3,4145,7369,6267.105118813348,False,False,False,True
N21000161,N21000331,4,8,4145,13387,5854.3260383597,False,False,False,True
N21000161,N21000332,4,6,4145,23473,5726.540311386163,False,False,False,True
N21000161,N21000333,4,3,4145,3340,5395.133152219689,False,False,False,True
N21000161,N21000334,4,1,4145,27702,6280.384972581264,False,False,False,True
N21000161,N21000335,4,36,4145,18611,5999.586079731723,False,False,False,True
N21000162,N21000161,4,10,7448,4145,2488.0354829700022,False,False,False,True
