origin_sdz,dest_sdz,count,dist_full,dist_lts1,dist_lts2,dist_lts3,dist_lts4
N21000161,N21000162,1,2488.035482970002,inf,inf,inf,2488.035482970002
N21000161,N21000163,9,2899.932487683348,inf,inf,inf,2899.932487683348
N21000161,N21000164,26,1249.2686190718673,inf,inf,inf,1249.2686190718673
N21000161,N21000165,16,3094.1730068162847,inf,inf,inf,3094.1730068162847
N21000161,N21000166,18,2040.1845681309505,inf,inf,inf,2040.1845681309505
N21000161,N21000167,3,4619.426555973972,inf,inf,inf,4619.426555973972
N21000161,N21000168,2,4111.921839164339,inf,inf,inf,4111.921839164339
N21000161,N21000169,3,3189.318615071264,inf,inf,inf,3189.318615071264
N21000161,N21000170,1,2997.7969044176957,inf,inf,inf,2997.7969044176957
N21000161,N21000171,5,4868.091534638747,inf,inf,inf,4868.091534638747
N21000161,N21000172,1,4341.866461668174,inf,inf,inf,4341.866461668174
N21000161,N21000173,2,3475.881008196532,inf,inf,inf,3475.881008196532
N21000161,N21000174,4,4316.1083245017235,inf,inf,inf,4316.1083245017235
N21000161,N21000175,20,5297.68866633883,inf,inf,inf,5297.68866633883
N21000161,N21000176,1,5640.1316195056515,inf,inf,inf,5640.1316195056515
N21000161,N21000177,6,6036.593452120667,inf,inf,inf,6036.593452120667
N21000161,N21000178,5,5382.5873836281025,inf,inf,inf,5382.5873836281025
N21000161,N21000179,2,6657.338079342524,inf,inf,inf,6657.338079342524
N21000161,N21000181,1,5802.927394059407,inf,inf,inf,5802.927394059407
N21000161,N21000182,4,4478.151634605713,inf,inf,inf,4478.151634605713
N21000161,N21000183,1,5503.055537084709,inf,inf,inf,5503.055537084709
N21000161,N21000184,3,4424.4752500941195,inf,inf,inf,4424.4752500941195
N21000161,N21000185,1,2843.9065327817025,inf,inf,inf,2843.9065327817025
N21000161,N21000186,3,4855.741889653484,inf,inf,inf,4855.741889653484
N21000161,N21000187,2,3481.45545917418,inf,inf,inf,3481.45545917418
N21000161,N21000188,4,5633.785391417112,inf,inf,inf,5633.785391417112
N21000161,N21000189,5,4370.972576204158,inf,inf,inf,4370.972576204158
N21000161,N21000190,4,5081.611942200649,inf,inf,inf,5081.611942200649
N21000161,N21000191,1,5820.459917675025,inf,inf,inf,5820.459917675025
N21000161,N21000192,53,6984.196096942477,inf,inf,inf,6984.196096942477
N21000161,N21000193,1,4884.6550282599355,inf,inf,inf,4884.6550282599355
N21000161,N21000195,5,6050.120770118935,inf,inf,inf,6050.120770118935
N21000161,N21000196,3,5769.162856373114,inf,inf,inf,5769.162856373114
N21000161,N21000198,23,8372.447679422126,inf,inf,inf,8372.447679422126
N21000161,N21000202,3,8628.962438729523,inf,inf,inf,8628.962438729523
N21000161,N21000203,1,9518.50903303544,inf,inf,inf,9518.50903303544
N21000161,N21000204,1,7792.954943990999,inf,inf,inf,7792.954943990999
N21000161,N21000205,1,8918.823950977965,inf,inf,inf,8918.823950977965
N21000161,N21000209,3,7886.268411914071,inf,inf,inf,7886.268411914071
N21000161,N21000251,72,6711.872831534967,inf,inf,inf,6711.872831534967
N21000161,N21000252,18,7170.042144275995,inf,inf,inf,7170.042144275995
N21000161,N21000253,7,7206.683095966273,inf,inf,inf,7206.683095966273
N21000161,N21000254,4,7746.727609584089,inf,inf,inf,7746.727609584089
N21000161,N21000256,15,7644.725420461062,inf,inf,inf,7644.725420461062
N21000161,N21000258,5,7759.249912755922,inf,inf,inf,7759.249912755922
N21000161,N21000261,3,8330.22149171528,inf,inf,inf,8330.22149171528
N21000161,N21000262,2,8369.871667220641,inf,inf,inf,8369.871667220641
N21000161,N21000264,8,8601.090737044171,inf,inf,inf,8601.090737044171
N21000161,N21000265,4,8415.799536700813,inf,inf,inf,8415.799536700813
N21000161,N21000266,3,8293.888704403495,inf,inf,inf,8293.888704403495
N21000161,N21000267,1,8953.78368945568,inf,inf,inf,8953.78368945568
N21000161,N21000268,24,7923.901634186137,inf,inf,inf,7923.901634186137
N21000161,N21000269,2,9208.98536719208,inf,inf,inf,9208.98536719208
N21000161,N21000270,6,9247.857029009145,inf,inf,inf,9247.857029009145
N21000161,N21000301,2,6064.064284769554,inf,inf,inf,6064.064284769554
N21000161,N21000302,3,6735.6608887314815,inf,inf,inf,6735.6608887314815
N21000161,N21000303,1,6169.0960816055485,inf,inf,inf,6169.0960816055485
N21000161,N21000305,1,7199.824450338683,inf,inf,inf,7199.824450338683
N21000161,N21000309,10,8052.9518890368045,inf,inf,inf,8052.9518890368045
N21000161,N21000310,2,9149.099316404037,inf,inf,inf,9149.099316404037
N21000161,N21000316,2,2789.8852305740916,inf,inf,5802.755542620118,2789.8852305740916
N21000161,N21000317,1,3426.0828777601737,inf,inf,inf,3426.0828777601737
N21000161,N21000318,1,2664.2188813368207,inf,inf,2664.2188813368207,2664.2188813368207
N21000161,N21000319,2,4133.459473494016,inf,inf,inf,4133.459473494016
N21000161,N21000321,5,4058.9218115039725,inf,inf,inf,4058.9218115039725
N21000161,N21000322,3,4888.356387563106,inf,inf,inf,4888.356387563106
N21000161,N21000323,5,4618.733045216635,inf,inf,inf,4618.733045216635
N21000161,N21000324,3,4830.993940414849,inf,inf,inf,4830.993940414849
N21000161,N21000325,22,5428.240185759278,inf,inf,inf,5428.240185759278
N21000161,N21000326,2,4591.267709865263,inf,inf,inf,4591.267709865263
N21000161,N21000327,1,4778.467366154687,inf,inf,inf,4778.467366154687
