sdz_code,total_trips,pct_trips_lts1,pct_trips_lts2,pct_trips_lts3,pct_trips_lts4
N21000161,546,0.0,0.0,0.2,100.0
N21000162,352,0.6,0.6,25.0,100.0
N21000163,501,0.0,0.0,0.0,100.0
N21000164,456,0.0,0.0,0.0,100.0
N21000165,519,0.6,0.6,14.8,100.0
N21000166,270,0.0,0.0,0.0,100.0
N21000167,471,0.0,0.0,11.5,100.0
N21000168,260,0.0,5.0,17.3,100.0
N21000169,262,1.9,1.9,12.6,100.0
N21000170,363,0.0,0.0,6.1,100.0
N21000171,373,0.0,0.0,0.0,100.0
N21000172,377,0.0,0.5,11.9,100.0
N21000173,268,0.0,0.0,0.0,100.0
N21000174,295,0.0,0.3,12.2,100.0
N21000175,338,0.0,0.0,2.1,100.0
N21000176,212,0.0,0.0,2.4,100.0
N21000177,229,0.0,0.0,0.0,100.0
N21000178,267,0.0,0.0,0.0,100.0
N21000179,234,0.0,3.4,44.9,100.0
N21000180,317,0.0,0.0,0.0,100.0
N21000181,248,0.0,0.0,0.0,100.0
N21000182,274,1.1,2.9,38.0,100.0
N21000183,293,0.0,0.0,0.0,100.0
N21000184,271,1.5,1.5,17.7,100.0
N21000185,530,0.6,0.8,8.9,100.0
N21000186,470,2.3,2.3,24.0,100.0
N21000187,507,1.0,1.0,1.0,100.0
N21000188,361,0.0,0.0,6.1,100.0
N21000189,334,0.0,0.9,6.0,100.0
N21000190,194,2.6,2.6,21.6,100.0
N21000191,280,0.0,0.0,3.6,100.0
N21000192,231,0.0,0.0,0.9,100.0
N21000193,423,0.0,0.0,16.5,100.0
N21000194,325,0.0,0.0,3.4,100.0
N21000195,340,0.0,0.0,6.2,100.0
N21000196,411,0.0,0.0,0.0,100.0
N21000197,242,0.0,0.0,16.1,100.0
N21000198,318,0.0,0.0,3.8,100.0
N21000199,450,0.0,0.0,19.3,100.0
N21000200,468,0.0,0.0,14.1,100.0
N21000201,349,0.0,0.0,11.7,100.0
N21000202,326,0.0,0.0,7.4,100.0
N21000203,245,0.0,0.0,0.8,100.0
N21000204,413,0.0,0.0,0.0,100.0
N21000205,453,0.0,0.0,0.0,100.0
N21000206,287,0.0,0.0,0.0,100.0
N21000207,339,0.0,0.0,0.0,100.0
N21000208,278,0.0,0.0,0.0,100.0
N21000209,299,0.0,0.0,0.0,100.0
N21000210,467,0.0,4.5,8.8,100.0
N21000211,402,0.0,0.0,14.2,100.0
N21000212,304,0.0,2.3,12.8,100.0
N21000213,357,0.0,1.7,16.0,100.0
N21000214,284,0.0,1.8,12.7,100.0
N21000215,234,0.0,0.0,20.9,100.0
N21000216,276,4.0,4.0,22.8,100.0
N21000217,395,0.0,4.1,8.6,100.0
N21000218,302,0.0,2.0,13.9,100.0
N21000219,327,0.0,0.0,0.0,100.0
N21000220,419,0.0,0.0,0.0,100.0
N21000221,307,0.0,0.0,2.0,100.0
N21000222,453,0.0,0.0,0.9,100.0
N21000223,333,0.0,0.0,0.0,100.0
N21000224,413,0.0,0.0,0.0,100.0
N21000225,373,0.0,0.0,2.1,100.0
N21000226,397,0.0,0.0,10.8,100.0
N21000227,385,0.0,0.0,4.9,100.0
N21000228,447,2.2,6.3,19.9,100.0
N21000229,285,0.0,0.4,25.6,100.0
N21000230,397,0.0,0.0,5.8,100.0
N21000231,357,0.0,0.0,9.0,100.0
N21000232,232,1.7,3.9,15.5,100.0
N21000233,323,0.0,0.0,5.6,100.0
N21000234,315,0.0,0.0,11.4,100.0
N21000235,436,0.0,0.0,0.0,100.0
N21000236,389,0.0,5.4,19.5,100.0
N21000237,541,2.2,3.9,21.8,100.0
N21000238,311,0.0,0.0,0.0,100.0
N21000239,358,0.0,3.6,16.8,100.0
N21000240,357,0.0,0.0,23.2,100.0
N21000241,392,0.0,4.3,18.4,100.0
N21000242,300,0.0,0.0,0.0,100.0
N21000243,249,4.0,4.8,39.0,100.0
N21000244,362,0.0,3.0,22.4,100.0
N21000245,381,0.0,0.0,18.1,100.0
N21000246,355,0.0,0.3,19.7,100.0
N21000247,504,0.0,0.0,0.0,100.0
N21000248,504,0.4,1.2,12.1,100.0
N21000249,406,0.0,0.0,0.0,100.0
N21000250,478,0.0,0.0,0.0,100.0
N21000251,277,0.0,0.0,0.0,100.0
N21000252,239,0.0,0.0,0.0,100.0
N21000253,248,0.0,0.0,0.0,100.0
N21000254,288,0.0,0.0,0.0,100.0
N21000255,409,0.0,0.0,1.5,100.0
N21000256,323,0.0,0.0,0.9,100.0
N21000257,364,0.0,0.0,14.0,100.0
N21000258,328,0.0,0.3,12.5,100.0
N21000259,136,4.4,4.4,11.0,100.0
N21000260,454,0.0,0.0,8.1,100.0
N21000261,371,0.0,0.0,0.0,100.0
N21000262,299,2.3,8.4,10.0,100.0
N21000263,566,0.0,2.1,10.6,100.0
N21000264,247,2.0,2.0,13.8,100.0
N21000265,438,0.0,0.0,0.0,100.0
N21000266,435,0.0,0.0,0.0,100.0
N21000267,418,0.0,0.0,18.4,100.0
N21000268,291,0.0,0.0,0.0,100.0
N21000269,548,0.0,0.0,22.8,100.0
N21000270,357,0.0,0.0,0.0,100.0
N21000271,584,0.7,1.9,16.1,100.0
N21000272,336,0.9,2.1,20.5,100.0
N21000273,479,0.0,0.0,0.0,100.0
N21000274,294,0.0,0.0,0.0,100.0
N21000275,288,0.0,0.0,0.0,100.0
N21000276,432,0.0,0.0,2.5,100.0
N21000277,400,0.0,0.0,0.2,100.0
N21000278,368,0.8,2.2,19.0,100.0
N21000279,378,0.0,0.0,4.0,100.0
N21000280,264,0.0,0.0,0.0,100.0
N21000281,429,0.0,0.0,3.0,100.0
N21000282,216,0.0,0.0,19.4,100.0
N21000283,333,0.0,0.0,4.8,100.0
N21000284,396,0.0,0.0,0.8,100.0
N21000285,290,0.0,0.0,16.2,100.0
N21000286,364,0.0,0.0,1.1,100.0
N21000287,357,0.0,0.0,12.0,100.0
N21000288,329,0.0,0.0,5.8,100.0
N21000289,569,0.0,0.0,4.7,100.0
N21000290,383,0.0,0.0,10.4,100.0
N21000291,338,0.0,0.0,4.7,100.0
N21000292,366,0.0,0.0,11.5,100.0
N21000293,572,0.0,0.0,0.0,100.0
N21000294,408,0.0,0.0,0.0,100.0
N21000295,289,0.0,0.0,9.3,100.0
N21000296,282,1.4,1.4,1.4,100.0
N21000297,354,2.8,2.8,2.8,100.0
N21000298,348,0.0,0.0,8.6,100.0
N21000299,469,1.7,1.7,1.7,100.0
N21000300,353,0.0,0.0,4.8,100.0
N21000301,547,0.0,0.0,4.6,100.0
N21000302,386,0.0,0.0,19.9,100.0
N21000303,337,0.0,0.0,3.3,100.0
N21000304,510,0.0,0.0,0.0,100.0
N21000305,420,0.0,0.0,3.8,100.0
N21000306,432,0.0,0.0,3.2,100.0
N21000307,692,0.0,0.0,0.0,100.0
N21000308,363,0.0,0.0,0.0,100.0
N21000309,538,0.0,0.0,0.0,100.0
N21000310,348,0.0,0.0,0.0,100.0
N21000311,556,1.4,1.4,2.0,100.0
N21000312,509,3.5,3.5,7.5,100.0
N21000313,504,0.0,0.0,5.2,100.0
N21000314,368,0.0,0.0,6.2,100.0
N21000315,559,0.0,0.0,3.0,100.0
N21000316,338,0.0,0.0,2.4,100.0
N21000317,383,0.0,0.0,0.0,100.0
N21000318,268,0.0,0.0,5.2,100.0
N21000319,304,0.0,0.0,14.8,100.0
N21000320,633,0.0,0.0,0.0,100.0
N21000321,239,0.0,0.0,20.1,100.0
N21000322,191,0.0,0.0,2.6,100.0
N21000323,315,0.0,0.0,25.1,100.0
N21000324,439,0.0,0.7,19.4,100.0
N21000325,234,0.0,0.0,6.8,100.0
N21000326,326,0.0,0.0,0.0,100.0
N21000327,369,0.0,1.6,26.3,100.0
N21000328,263,0.0,0.0,17.9,100.0
N21000329,266,0.0,0.0,0.0,100.0
N21000330,299,0.0,0.0,0.0,100.0
N21000331,397,0.0,0.8,27.7,100.0
N21000332,386,0.0,1.8,31.9,100.0
N21000333,222,0.0,0.0,16.7,100.0
N21000334,358,0.0,0.0,7.0,100.0
N21000335,354,0.0,0.0,9.6,100.0
