sdz2021_cd,lts_1_count,lts_2_count,lts_3_count,lts_4_count
N21000161,462,190,55,96
N21000162,152,2,16,10
N21000163,68,20,0,37
N21000164,276,70,0,26
N21000165,109,81,6,28
N21000166,109,38,0,62
N21000167,108,40,28,58
N21000168,196,48,6,26
N21000169,64,0,18,0
N21000170,80,45,22,13
N21000171,180,26,0,34
N21000172,228,48,0,42
N21000173,68,4,4,6
N21000174,300,154,46,22
N21000175,166,81,39,58
N21000176,62,12,16,16
N21000177,146,179,9,77
N21000178,133,90,36,162
N21000179,128,120,50,28
N21000180,108,20,6,30
N21000181,110,111,46,40
N21000182,227,138,8,29
N21000183,129,22,6,12
N21000184,86,48,15,21
N21000185,134,19,1,24
N21000186,160,96,0,2
N21000187,142,25,6,38
N21000188,106,141,22,28
N21000189,147,38,38,24
N21000190,98,27,52,4
N21000191,124,28,8,26
N21000192,261,1519,483,330
N21000193,108,68,40,6
N21000194,83,14,26,6
N21000195,262,162,62,98
N21000196,213,22,41,26
N21000197,136,1383,288,60
N21000198,274,1023,221,243
N21000199,135,66,26,15
N21000200,156,29,22,18
N21000201,81,32,48,10
N21000202,286,58,90,56
N21000203,86,31,50,44
N21000204,268,10,6,74
N21000205,148,158,98,92
N21000206,75,43,22,22
N21000207,112,9,18,70
N21000208,202,84,74,31
N21000209,150,95,30,106
N21000210,141,80,6,50
N21000211,110,50,15,32
N21000212,107,39,27,11
N21000213,158,68,22,51
N21000214,59,52,24,0
N21000215,93,20,26,6
N21000216,130,116,34,2
N21000217,126,90,2,12
N21000218,85,66,0,0
N21000219,204,133,24,8
N21000220,242,214,37,57
N21000221,298,449,68,177
N21000222,146,20,0,4
N21000223,160,52,0,36
N21000224,242,170,5,145
N21000225,136,78,31,79
N21000226,115,71,26,64
N21000227,158,92,2,14
N21000228,74,10,12,8
N21000229,594,100,40,12
N21000230,156,100,57,9
N21000231,176,69,76,0
N21000232,161,22,0,48
N21000233,76,76,0,51
N21000234,205,85,42,0
N21000235,146,78,52,14
N21000236,84,81,16,12
N21000237,119,210,42,39
N21000238,126,6,6,10
N21000239,150,90,4,0
N21000240,112,419,74,16
N21000241,58,91,11,44
N21000242,111,68,9,68
N21000243,80,64,22,0
N21000244,160,12,8,8
N21000245,90,76,15,39
N21000246,90,14,10,0
N21000247,307,118,47,71
N21000248,165,79,63,31
N21000249,92,62,32,33
N21000250,114,64,5,42
N21000251,204,569,157,312
N21000252,278,163,47,98
N21000253,107,128,100,150
N21000254,160,173,38,110
N21000255,156,12,23,24
N21000256,242,312,42,100
N21000257,120,40,17,11
N21000258,103,150,21,115
N21000259,42,50,2,30
N21000260,91,53,2,6
N21000261,50,55,0,36
N21000262,115,227,18,26
N21000263,230,131,66,51
N21000264,218,253,60,67
N21000265,86,116,4,60
N21000266,137,90,0,18
N21000267,138,53,16,9
N21000268,146,1504,224,124
N21000269,116,20,36,0
N21000270,178,88,4,80
N21000271,191,193,43,0
N21000272,258,45,1,28
N21000273,120,64,2,42
N21000274,155,363,95,136
N21000275,282,128,0,22
N21000276,102,99,16,24
N21000277,228,148,0,104
N21000278,641,308,83,44
N21000279,141,63,24,0
N21000280,84,95,2,55
N21000281,366,20,0,26
N21000282,227,78,28,22
N21000283,309,310,61,109
N21000284,321,375,53,55
N21000285,711,151,91,56
N21000286,142,69,13,16
N21000287,420,213,103,30
N21000288,314,30,58,0
N21000289,174,30,18,4
N21000290,372,52,42,0
N21000291,125,10,23,12
N21000292,579,12,56,5
N21000293,270,131,64,35
N21000294,228,315,51,45
N21000295,446,186,66,14
N21000296,380,132,14,4
N21000297,300,8,20,2
N21000298,496,121,127,0
N21000299,352,30,10,2
N21000300,156,63,28,0
N21000301,213,50,21,32
N21000302,162,137,0,6
N21000303,65,63,18,28
N21000304,380,240,34,64
N21000305,136,72,10,4
N21000306,701,375,82,11
N21000307,155,24,6,58
N21000308,211,164,41,96
N21000309,317,459,142,181
N21000310,144,52,0,34
N21000311,201,59,19,19
N21000312,198,68,2,41
N21000313,294,68,26,14
N21000314,121,17,20,6
N21000315,130,71,39,19
N21000316,366,72,65,12
N21000317,79,38,6,58
N21000318,532,94,35,4
N21000319,180,92,18,8
N21000320,150,16,31,22
N21000321,108,44,6,19
N21000322,264,90,36,38
N21000323,174,32,18,18
N21000324,154,108,21,46
N21000325,356,168,118,53
N21000326,113,52,42,28
N21000327,102,54,42,3
N21000328,154,6,16,0
N21000329,142,113,51,84
N21000330,209,14,6,32
N21000331,241,169,67,46
N21000332,130,172,36,7
N21000333,80,43,20,0
N21000334,299,87,5,32
N21000335,94,294,70,70
